Time,NodeId,Delay
13.1549,36,0.700597
13.1552,405,0.884352
13.1553,400,0.362251
13.1553,36,0.640532
13.1553,403,0.281081
13.1556,36,0.383969
13.1557,36,0.386927
13.156,36,0.447542
13.1561,402,0.435443
13.1565,407,0.414794
13.1565,36,0.339528
13.1565,36,1.25564
13.1566,408,0.208794
13.1568,36,1.34832
13.1569,406,0.651479
13.1569,403,0.282665
13.157,36,0.805005
13.1572,400,0.362251
13.1575,36,0.703147
13.1576,36,0.449126
13.1577,36,0.388684
13.1577,36,0.386111
13.1581,405,0.884352
13.1581,36,0.341152
13.1582,408,0.208675
13.1584,36,0.634984
13.1585,403,0.28252
13.1586,407,0.412838
13.1587,402,0.437993
13.1591,400,0.364159
13.1593,36,0.444519
13.1596,36,0.390569
13.1597,406,0.651479
13.1598,36,0.342841
13.1598,36,0.388032
13.1599,408,0.210325
13.16,36,0.705697
13.1601,403,0.284104
13.1602,401,0.753374
13.1602,36,0.808275
13.1607,407,0.410882
13.161,405,0.887234
13.161,400,0.364159
13.1611,36,0.344172
13.1612,402,0.437993
13.1613,36,0.637866
13.1615,36,0.392303
13.1615,408,0.21024
13.1617,403,0.284104
13.162,36,0.390161
13.1624,401,0.729432
13.1625,406,0.648376
13.1626,36,0.708247
13.1628,36,0.345822
13.1629,407,0.413011
13.1632,408,0.21189
13.1632,36,0.808424
13.1632,403,0.285687
13.1634,36,0.394212
13.1637,36,1.26282
13.1638,402,0.440543
13.1638,405,0.887234
13.1641,36,0.390161
13.1642,36,0.631838
13.1644,36,0.347473
13.1645,401,0.731583
13.1648,403,0.285687
13.1648,408,0.212109
13.165,407,0.413011
13.1651,36,0.710797
13.1653,36,0.395946
13.1654,406,0.651208
13.1657,36,0.450854
13.1661,36,0.811339
13.1662,36,0.39229
13.1663,402,0.440543
13.1664,403,0.287271
13.1665,408,0.213759
13.1666,36,0.349614
13.167,405,0.878626
13.1671,36,0.63472
13.1671,407,0.41514
13.1672,36,0.397854
13.1675,400,0.37061
13.1677,36,0.713347
13.1677,36,0.350774
13.168,403,0.286981
13.1681,36,1.26723
13.1681,408,0.213775
13.1682,406,0.651423
13.1684,36,0.394224
13.1685,401,0.727244
13.1688,36,0.450854
13.1689,402,0.443093
13.1691,36,0.399588
13.1692,407,0.414945
13.1694,400,0.37061
13.1694,36,0.352424
13.1696,403,0.288565
13.1699,405,0.881509
13.1699,408,0.215576
13.17,36,0.637602
13.1705,36,0.396353
13.1707,401,0.712758
13.1707,36,0.716364
13.171,36,0.401497
13.171,406,0.654255
13.1711,36,0.354116
13.1712,403,0.288372
13.1713,400,0.372518
13.1714,407,0.417074
13.1715,36,0.813584
13.1716,408,0.215625
13.1717,402,0.443326
13.1726,36,0.392095
13.1727,36,0.355726
13.1727,403,0.288275
13.1728,36,0.640485
13.1729,36,0.403231
13.1731,36,1.3161
13.1731,405,0.876047
13.1732,408,0.217276
13.1733,36,0.718914
13.1737,407,0.415681
13.1737,400,0.373042
13.1741,406,0.646074
13.1742,36,0.816335
13.1742,402,0.443326
13.1743,403,0.289859
13.1746,36,0.357702
13.1747,36,0.394224
13.1748,36,0.405139
13.1749,408,0.217276
13.1751,36,1.2742
13.1752,36,1.31825
13.1756,400,0.374951
13.1757,36,0.643103
13.1758,36,0.721464
13.1758,407,0.417811
13.1759,403,0.289714
13.176,36,0.359026
13.1765,408,0.218926
13.1767,36,0.406873
13.1768,402,0.445876
13.1769,36,0.394029
13.1769,405,0.879838
13.1775,406,0.649425
13.1775,403,0.291298
13.1775,400,0.374951
13.1776,36,0.360676
13.1779,407,0.415855
13.1782,408,0.218926
13.1784,36,0.724013
