Time,Hops
2.13598,3
2.13655,5
2.13661,2
2.13704,2
2.13763,3
2.13789,3
2.13863,2
2.13928,3
2.13938,5
2.14051,2
2.14093,3
2.14107,3
2.14214,2
2.14222,5
2.14237,2
2.14258,3
2.14338,2
2.14362,3
2.14423,3
2.14496,2
2.14505,5
2.14588,3
2.14617,3
2.14655,2
2.14753,3
2.14788,5
2.14813,2
2.14818,2
2.14872,3
2.14918,3
2.14979,2
2.15071,5
2.15083,3
2.15106,2
2.15127,3
2.1513,2
2.15248,3
2.15265,7
2.15288,2
2.15355,5
2.15381,5
2.15382,3
2.15394,2
2.15406,3
2.15413,3
2.15511,2
2.15548,7
2.15578,3
2.15605,2
2.15661,3
2.15664,5
2.15682,2
2.15743,3
2.15787,2
2.15832,7
2.15909,3
2.15916,3
2.15922,2
2.15924,3
2.15939,3
2.15947,5
2.15954,3
2.15969,3
2.15971,2
2.15973,5
2.15984,3
2.15999,5
2.15999,3
2.16014,3
2.16025,5
2.16051,5
2.16077,5
2.1608,2
2.16103,5
2.16115,7
2.16129,5
2.16171,3
2.16254,2
2.16259,2
2.16295,2
2.16397,2
2.16426,3
2.16547,2
2.16555,2
2.16617,2
2.16621,5
2.16681,3
2.16714,2
2.16835,2
2.16862,2
2.16884,2
2.16888,2
2.16914,2
2.16936,3
2.16939,2
2.16959,3
2.1703,2
2.17165,5
2.17189,2
2.17214,3
2.17261,2
2.17347,2
2.17439,2
2.17469,3
2.17529,2
2.17583,2
2.17664,2
2.17724,3
2.17727,2
2.17732,5
2.17822,2
2.17904,2
2.17979,3
2.18015,2
2.18017,2
2.18047,5
2.18139,2
2.18226,2
2.18234,3
2.18303,2
2.18337,2
2.18456,2
2.18489,3
2.18548,2
2.18592,2
2.18614,2
2.18617,5
2.18744,3
2.18804,2
2.1887,2
2.1888,2
2.18931,2
2.18999,3
2.19089,2
2.19168,2
2.19171,5
2.19192,2
2.19248,2
2.19254,3
2.19433,2
2.19456,2
2.19483,2
2.19509,2
2.19509,3
2.19535,2
2.19539,2
2.19562,2
2.19569,2
2.19714,5
2.19723,2
2.19764,3
2.19835,2
2.19881,2
2.20019,3
2.20083,2
2.20104,2
2.20115,3
2.20198,2
2.20274,3
2.2028,2
2.20281,5
2.20301,2
2.20445,3
2.2046,2
2.20479,2
2.20481,2
2.20492,7
2.20515,2
2.20529,3
2.2066,1
2.20673,2
2.20775,3
2.20784,3
2.2084,2
2.20847,5
2.20875,2
2.21033,2
2.21039,3
2.21062,3
2.21086,3
2.21105,3
2.21122,2
2.21192,2
2.21213,2
2.21226,1
2.21234,2
2.21255,2
2.21321,2
2.21341,3
2.21422,5
2.21435,3
2.21444,2
2.21517,2
2.21596,3
2.21619,3
2.21638,2
2.21646,2
2.21733,7
2.21766,3
2.21796,2
2.21837,2
2.21874,3
2.21982,2
2.22006,5
2.22028,2
2.22096,3
2.22129,3
2.22152,3
2.22176,3
2.22184,2
2.22199,3
2.22219,2
2.22222,3
2.22246,3
2.22269,3
2.22276,7
2.22292,3
2.22316,3
2.22339,3
2.22342,2
2.22363,2
2.2241,2
2.22426,3
2.22522,2
2.22547,5
2.22599,3
2.226,2
2.22618,2
2.2268,2
2.22756,3
2.22809,2
2.22838,2
2.22843,7
2.22997,2
2.23,2
2.23086,3
2.23109,3
2.23143,5
2.23155,2
2.2319,2
2.23228,4
2.23314,2
2.23335,2
2.23381,2
2.2343,3
2.23493,2
2.23572,2
2.23651,3
2.23651,2
2.23672,2
2.23693,2
2.23705,5
2.23714,2
2.23735,2
2.2374,3
2.23746,3
2.23756,2
2.23763,2
2.23777,2
2.23781,2
2.23798,2
2.23819,2
2.23971,2
2.23977,2
2.23995,3
2.23998,2
2.24007,4
2.24019,2
2.24072,2
2.24076,3
2.24086,3
2.24162,2
2.24246,5
2.2425,3
2.24317,2
2.24353,2
2.24388,2
2.24406,3
2.24505,3
2.24523,3
2.24544,2
2.2459,2
2.24687,2
2.24708,2
2.24735,2
2.24736,3
2.24736,3
2.2476,3
2.24813,5
2.24842,4
2.24875,2
2.24926,2
2.24949,3
2.25015,3
2.25022,2
2.25066,3
2.25117,2
2.25162,3
2.25181,3
2.25201,3
2.25231,4
2.2527,3
2.25307,2
2.25308,2
2.25342,2
2.25397,3
2.25414,3
2.25448,5
2.25498,2
2.25499,2
2.25525,3
2.25621,4
2.25623,3
2.25627,3
2.25655,2
2.25689,2
2.2578,3
2.25788,3
2.2584,3
2.25852,2
2.2588,2
2.2594,1
2.25945,5
2.25953,3
2.25999,2
2.2601,4
2.26035,3
2.26046,4
2.26052,3
2.26071,2
2.26072,3
2.26081,4
2.26091,3
2.26118,3
2.26125,1
2.26131,2
2.26262,2
2.26283,3
2.2629,3
2.2631,1
2.26448,3
2.26453,2
2.26463,3
2.26491,4
2.26495,1
2.26541,5
2.26545,3
2.26628,3
2.26643,2
2.26793,3
2.268,3
2.26834,2
2.26852,2
2.26869,2
2.26881,4
2.26958,2
2.26958,3
2.26979,2
2.27,2
2.27021,2
2.27042,2
2.27055,3
2.2706,2
2.27063,2
2.27078,5
2.27123,3
2.27164,2
2.2718,1
2.27251,2
2.27268,2
2.2727,4
2.27288,3
2.2731,3
2.27322,2
2.27365,1
2.27453,3
2.27459,2
2.27468,3
2.27505,5
2.27519,2
2.27551,1
2.27565,3
2.27633,3
2.27639,2
2.2765,2
2.2766,4
2.27668,2
2.27685,2
2.27695,4
2.27703,2
2.2772,2
2.27731,4
2.27736,1
2.27737,2
2.27755,2
2.27772,2
2.27788,5
2.2779,2
2.27798,3
2.27807,2
2.2782,3
2.27825,2
2.27842,2
2.27869,2
2.27921,1
2.27956,2
2.27963,3
2.28033,2
2.28067,2
2.28072,5
2.28075,3
2.28106,1
2.28129,3
2.28147,2
2.28224,2
2.28273,2
2.28292,1
2.28294,3
2.2833,3
2.28355,5
2.28415,2
2.28438,2
2.28459,3
2.28477,1
2.28585,3
2.2859,2
2.28606,2
2.28624,3
2.28638,5
2.28644,2
2.28662,1
2.28748,2
2.28789,3
2.28797,2
2.2884,3
2.28847,1
2.28921,5
2.28947,5
2.28954,3
2.28955,2
2.28987,2
2.29033,1
2.29065,2
2.29095,3
2.29119,3
2.29178,2
2.29218,1
2.2922,2
2.2923,5
2.29267,2
2.29284,3
2.2935,3
2.29369,2
2.29425,2
2.29449,3
2.29514,5
2.2956,2
2.29583,2
2.29604,2
2.29605,3
2.29614,3
2.29625,2
2.29751,2
2.29779,3
2.29784,2
2.29797,2
2.29797,5
2.2986,3
2.29942,2
2.29942,2
2.29944,3
2.3008,5
2.301,2
2.30109,3
2.30115,3
2.30124,3
2.30133,2
2.30139,3
2.30259,2
2.30304,3
2.30323,2
2.30363,5
2.3037,3
2.30373,2
2.30417,2
2.30469,3
2.30484,3
2.30514,2
2.30575,2
2.30625,3
2.30647,5
2.30649,3
2.30673,5
2.30705,2
2.30734,2
2.30815,3
2.3083,3
2.30845,3
2.3086,3
2.30875,3
2.3088,3
2.3089,3
2.30892,2
2.30896,2
2.30905,3
2.3092,3
2.30935,3
2.3095,2
2.3095,3
2.30956,5
2.31051,2
2.31087,2
2.31099,3
2.31135,3
2.31158,3
2.31209,2
2.31239,5
2.31278,2
2.31367,2
2.31413,3
2.31429,3
2.31469,2
2.31522,5
2.31526,2
2.31526,2
2.31547,2
2.31568,2
2.31589,2
2.3161,2
2.3163,2
2.31659,2
2.31668,3
2.31692,3
2.31715,3
2.31738,3
2.31762,3
2.31785,3
2.31789,2
2.31806,5
2.31808,3
2.3182,3
2.31832,3
2.3185,2
2.31855,3
2.31878,3
