Time,Bytes
9.71068,590
9.71074,590
9.71076,54
9.71082,590
9.71084,54
9.71088,54
9.71101,54
9.71103,54
9.71107,590
9.71117,54
9.71119,54
9.71132,54
9.71136,54
9.71146,54
9.71154,54
9.71161,54
9.71171,54
9.71172,590
9.71175,54
9.71176,590
9.71189,54
9.7119,54
9.71206,54
9.71216,590
9.71224,54
9.71241,54
9.71331,590
9.71341,590
9.71348,590
9.71351,590
9.71354,54
9.71358,590
9.71366,590
9.71377,54
9.71395,590
9.71399,54
9.71411,542
9.71413,590
9.71506,590
9.71506,590
9.71543,590
9.7156,54
9.71624,590
9.71632,590
9.71635,590
9.71665,590
9.71671,590
9.71683,590
9.71721,54
9.7177,542
9.7182,542
9.71823,590
9.71837,590
9.71887,590
9.71918,590
9.71971,590
9.71981,590
9.71998,54
9.72002,590
9.72024,54
9.72033,590
9.72043,54
9.7214,590
9.72142,590
9.72154,54
9.7216,590
9.72167,590
9.72169,54
9.72201,590
9.72228,542
9.72312,590
9.72327,590
9.72332,590
9.72339,54
9.72342,54
9.72356,54
9.72371,54
9.72385,54
9.72396,54
9.72397,590
9.724,54
9.72414,54
9.72441,590
9.72484,590
9.72497,590
9.72518,542
9.72573,590
9.72614,590
9.72627,590
9.72637,542
9.72652,590
9.72653,54
9.72662,590
9.72676,54
9.72677,54
9.72687,54
9.72731,590
9.72768,590
9.72782,590
9.72842,590
9.7285,590
9.72889,590
9.72907,590
9.72931,590
9.73007,590
9.73008,54
9.73022,54
9.73045,542
9.73048,590
9.73051,590
9.73065,590
9.73077,54
9.73103,54
9.73186,590
9.73187,590
9.73203,590
9.73206,590
9.7321,590
9.73258,590
9.73265,542
9.7333,54
9.73352,590
9.73364,590
9.73386,590
9.73437,54
9.73441,590
9.73454,542
9.73491,590
9.73517,590
9.73517,54
9.73523,590
9.73536,590
9.73655,590
9.73667,590
9.73669,590
9.73681,590
9.73682,590
9.73696,590
9.73726,590
9.73744,54
9.7379,590
9.73806,590
9.7384,590
9.73847,590
9.73862,54
9.73862,542
9.73951,590
9.73952,590
9.73988,54
9.73998,590
9.74012,542
9.74027,590
9.74042,54
9.74063,54
9.74075,590
9.74156,590
9.74198,590
9.74206,590
9.74208,590
9.74236,590
9.74271,542
9.74315,590
9.74344,54
9.74373,590
9.74402,590
9.74461,590
9.74473,590
9.74481,590
9.74484,590
9.74484,54
9.74519,590
9.74538,590
9.74553,54
9.74632,590
9.74632,54
9.74644,590
9.74679,542
9.74718,590
9.74739,590
9.7476,542
9.7479,590
9.7479,590
9.74802,590
9.74828,54
9.74838,590
9.74883,590
9.74892,590
9.74933,590
9.74948,590
9.74994,590
9.75028,590
9.75048,590
9.75061,590
9.75074,590
9.75088,542
9.75107,590
9.75111,590
9.75149,590
9.75213,590
9.75219,590
9.75221,590
9.75228,54
9.75246,590
9.75249,590
9.75265,590
9.75272,54
9.75301,590
9.75393,590
9.75394,590
9.7541,590
9.75423,590
9.75428,54
9.75445,54
9.75496,542
9.75507,542
9.75509,590
9.75527,590
9.75536,54
9.75558,590
9.75562,54
9.75582,590
9.75627,54
9.75678,590
9.75709,590
9.75723,590
9.75738,54
9.7574,590
9.75782,590
9.7585,590
9.75896,590
9.75899,590
9.75903,590
9.75905,542
9.75923,590
9.75949,54
9.75961,590
9.76037,590
9.76057,590
9.76068,590
9.76083,54
9.76118,590
9.76138,590
9.76165,54
9.76194,54
9.76207,590
9.76215,590
9.76244,590
9.76248,590
9.76254,542
9.76292,590
9.76313,542
9.76313,590
9.76374,590
9.76413,590
9.76453,590
9.76504,590
9.76526,590
9.76527,590
9.76532,590
9.76547,590
